"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93436","2. Verify Transfer transaction and enabled/disabled actions for Checked Out item","","Fri May 30 21:41:22 UTC 2025","failed","Fri May 30 21:42:56 UTC 2025","","Item Transactions & Actions","",""
"","62297","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Fri May 30 21:22:26 UTC 2025","passed","Fri May 30 21:23:28 UTC 2025","","Edit Case","",""
"","45487","7. Remove all optional values & check history records","","Fri May 30 21:25:52 UTC 2025","passed","Fri May 30 21:26:37 UTC 2025","","Edit Case","",""
"","27703","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling","","Fri May 30 21:32:48 UTC 2025","passed","Fri May 30 21:33:15 UTC 2025","","Edit Item","",""
"","24061","3.2 Verify ""Close X Cases"" functionality","","Fri May 30 21:16:53 UTC 2025","passed","Fri May 30 21:17:17 UTC 2025","","Auto-Disposition","",""
"","52573","3.4 Verify ""View X Cases"" functionality","","Fri May 30 21:17:36 UTC 2025","passed","Fri May 30 21:18:29 UTC 2025","","Auto-Disposition","",""
"","18217","3.3 Verify ""Recalculate Cases to Dispose"" functionality","","Fri May 30 21:17:18 UTC 2025","passed","Fri May 30 21:17:36 UTC 2025","","Auto-Disposition","",""
"","27378","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Fri May 30 21:25:24 UTC 2025","passed","Fri May 30 21:25:52 UTC 2025","","Edit Case","",""
"","90822","2. Edit and verify all values on Item View page -- keep the previous values in multiselect fields  - Tags & Item Belongs To; 2.1. hitting *enter* button does not wipe out Additional Barcode","","Fri May 30 21:29:41 UTC 2025","passed","Fri May 30 21:31:11 UTC 2025","","Edit Item","",""
"","7704","2. Verify Save button is disabled when missing value in any ""Follow Up Days"" field","","Fri May 30 21:16:46 UTC 2025","passed","Fri May 30 21:16:53 UTC 2025","","Auto-Disposition","",""
"","53099","3. Remove all optional values & check history records","","Fri May 30 21:31:12 UTC 2025","passed","Fri May 30 21:32:05 UTC 2025","","Edit Item","",""
"","36993","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Fri May 30 21:34:35 UTC 2025","passed","Fri May 30 21:35:12 UTC 2025","","Edit Person","",""
"","50700","3. Edit and verify reduced number of values on Case View page -- enter User Group instead of User as Case Officer","","Fri May 30 21:23:30 UTC 2025","passed","Fri May 30 21:24:21 UTC 2025","","Edit Case","",""
"","69818","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)","","Fri May 30 21:21:14 UTC 2025","passed","Fri May 30 21:22:24 UTC 2025","","Edit Case","",""
"","78977","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Fri May 30 21:28:20 UTC 2025","passed","Fri May 30 21:29:39 UTC 2025","","Edit Item","",""
"","28860","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Fri May 30 21:24:55 UTC 2025","passed","Fri May 30 21:25:24 UTC 2025","","Edit Case","",""
"","89613","2.1 Add User to a Group, then add to another Group --> Verify that previous User Group is not overwritten","","Fri May 30 21:37:55 UTC 2025","passed","Fri May 30 21:39:25 UTC 2025","","Edit User","",""
"","40804","4. Edit and verify reduced number of values on Item View page ","","Fri May 30 21:32:06 UTC 2025","passed","Fri May 30 21:32:47 UTC 2025","","Edit Item","",""
"","65866","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Fri May 30 21:36:49 UTC 2025","passed","Fri May 30 21:37:55 UTC 2025","","Edit User","",""
